admin2Pcode,District,admin1Name_en,AREA_SQKM,T_TL,M_TL,F_TL,Inernet_Total_15 year+,Inernet_Male_15 year+,Inernet_Female_15 year+,Mobile Phone_Total_15 year+,Mobile Phone_Male_15 year+,Mobile Phone_Female_15 year+,4G Avg. UE throughput DL (MB),Literacy Rate_7year+_Overall,Literacy Rate_7year+_Male,Literacy Rate_7year+_Female,Employment_Rate,Employment_Rate_Male,Employment_Rate_Female,Have financial account_Overall,Have financial account_Male,Have financial account_Female,Mobile Bank Account_Overall,Mobile Bank Account_Male,Mobile Bank Account_Female,National Grid_%,No Electricity Connection_%,Poverty headcount ratio (%),Extreme poverty headcount ratio (%),Percentage of population in bottom 40% (%),Num_op_x_towers,Cell_tower_density,Tea_State_Count,mean_distance,min_distance,max_distance,median_distance,25_perc_distance,75_perc_distance,std_dev_distance,mean_num_tower_500m,mean_num_tower_1000m,mean_num_tower_2000m,mean_num_tower_5000m,mean_num_tower_10000m
BD4001,Bagerhat,Khulna,3646.18417015368,1338096,651464,686632,28.58,38.26,19.21,70.15,83.28,57.45,11.57767441860465,81.42,82.49,80.37,33.48,58.51,8.8,25.84,32.1,19.77,40.4,53.0,28.2,97.85,1.03,42.79999923706055,24.0,56.79692840576172,140,0.0383963051416844,0,2637.0,30.0,52679.0,1602.0,973.0,2325.0,4927.0,0.09683538776465972,0.34740595199003427,1.1819455124604605,6.092121626537596,23.036153203140252
BD2003,Bandarban,Chittagong,4595.260113439101,497397,256943,240454,29.54,40.16,18.3,65.85,80.38,50.49,9.334666666666665,63.74,68.97,58.22,39.65,59.66,18.47,23.07,29.06,16.73,35.05,46.44,23.01,52.62,11.23,40.099998474121094,21.600000381469727,53.75440216064453,77,0.016756396395235407,0,4558.0,84.0,48803.0,2530.0,1220.0,5148.0,6007.0,0.09135704950488223,0.311063783169894,0.9606556388732215,4.2610168878625645,17.33985122975959
BD1004,Barguna,Barisal,1345.65052072562,898288,425887,472401,29.12,38.1,20.82,71.39,83.87,59.87,11.438720930232558,80.65,82.28,79.1,30.05,53.62,7.59,23.91,30.45,17.88,45.23,58.29,33.17,98.41,0.75,19.0,9.800000190734863,19.905654907226562,97,0.07208409502022438,0,1708.0,64.0,6767.0,1596.0,991.0,2306.0,961.0,0.1153610430361951,0.4152273044495158,1.2954851217909946,5.909970156981325,20.796232978305838
BD1006,Barisal,Barisal,2219.58086086033,2192962,1042061,1150901,32.44,41.36,24.29,72.49,83.43,62.49,11.99406976744186,79.85,80.81,78.94,29.81,53.02,7.86,26.29,32.53,20.59,42.03,53.76,31.31,98.42,0.5,54.79999923706055,39.89999771118164,70.55498504638672,234,0.10542530985300505,0,1343.0,18.0,8610.0,1167.0,637.0,1820.0,979.0,0.30339858413826604,1.0878950249329824,3.524328986949999,13.543404323954867,37.82248706878691
BD1009,Bhola,Barisal,1948.54373916624,1772115,860217,911898,26.36,35.77,17.74,67.59,80.68,55.59,11.332674418604652,67.3,67.24,67.35,31.01,55.82,7.45,23.16,29.42,17.42,35.81,47.84,24.78,91.16,1.3,33.19999694824219,20.399999618530273,44.51565170288086,133,0.06825610189120476,0,1924.0,45.0,22115.0,1393.0,831.0,2120.0,2180.0,0.1490818985216817,0.47139890580734817,1.5505324053759997,7.099347857336072,21.33681313188601
BD5010,Bogra,Rajshahi,2912.59416171989,3702387,1806870,1895517,30.71,41.15,20.75,68.81,85.58,52.84,13.402209302325582,72.55,75.53,69.65,32.92,57.87,8.48,25.86,32.76,19.28,42.68,58.56,27.56,98.42,0.78,16.599998474121094,6.700000286102295,21.914047241210938,213,0.07313068288038567,0,1700.0,71.0,8397.0,1483.0,801.0,2353.0,1172.0,0.19856172307399494,0.8145929265494996,2.7490171459820223,11.730148243094773,32.573187998386544
BD2012,Brahamanbaria,Chittagong,1922.68190754572,3261331,1526303,1735028,47.99,54.56,42.82,67.63,78.51,59.07,10.12911111111111,72.12,71.74,72.44,25.89,47.46,7.54,23.4,26.46,20.99,31.55,38.82,25.83,99.44,0.32,30.000001907348633,15.000000953674316,39.9965934753418,315,0.16383365275543352,0,1015.0,24.0,4495.0,923.0,565.0,1340.0,603.0,0.2926225203405821,0.9723748610033288,3.0737619435028165,14.6921688600156,52.01099465447751
BD2013,Chandpur,Chittagong,1469.43703510629,2468479,1133999,1334480,45.22,51.58,40.1,72.15,80.59,65.34,12.805666666666662,78.23,78.45,78.03,26.56,49.9,6.55,25.31,28.53,22.72,41.69,49.39,35.48,98.76,0.36,51.0,30.30000114440918,69.70950317382812,496,0.3375442350710334,0,703.0,36.0,6154.0,656.0,403.0,910.0,429.0,0.5199964468995757,1.7635457272256745,6.079959767970906,29.59678759755375,104.16347499788668
BD2015,Chittagong,Chittagong,4450.85926077273,8606592,4282066,4324526,50.82,59.54,42.43,77.07,85.98,68.5,11.195444444444446,81.06,82.88,79.26,34.39,56.78,12.26,30.22,36.59,24.09,35.21,46.71,24.15,95.99,0.55,11.5,4.0,15.146480560302734,2022,0.4542943017364592,22,594.0,26.0,6096.0,391.0,186.0,763.0,640.0,2.5683983026445656,9.970604249009755,37.081641356357345,175.2359868738305,405.8519802178764
BD4018,Chuadanga,Khulna,1165.10167493216,1216379,590617,625762,28.53,39.25,18.44,63.5,83.25,44.92,15.10081395348837,71.2,72.05,70.38,35.5,65.13,6.93,22.25,28.76,16.12,35.97,50.55,22.26,99.26,0.57,27.700000762939453,10.800000190734863,38.57638168334961,78,0.06694694693022536,0,1724.0,109.0,5985.0,1591.0,918.0,2332.0,1038.0,0.10435443040281335,0.3765170228809745,1.2131742673865538,5.836284537850031,21.080089419817572
