tea_garden_bn,tea_garden_en,reg_workers,unreg_workers,tot_workers,tea_estate_pop,nearest_distance,num_tower_500m,num_tower_1000m,num_tower_2000m,num_tower_5000m,num_tower_10000m,num_tower_500m_quality,num_tower_1000m_quality,num_tower_2000m_quality,num_tower_5000m_quality,num_tower_10000m_quality,nearest_distance_quality,perc_unreg_workers
আল্লাদাদ,Alladad,27,73,100,260,2188.929651204673,0,0,0,4,17,bad,bad,bad,bad,bad,ok,73.0
আলিয়াবাগ,Aliyabag,246,100,346,885,694.8403994979888,0,1,1,6,15,bad,bad,bad,bad,bad,good,28.901734104046245
আনয়শাবাগ,Anayeshabag,119,96,215,391,1177.231319478488,0,0,2,12,32,bad,bad,bad,bad,bad,good,44.651162790697676
বাহাদুরপুর,Bahadurpur,166,86,252,240,267.93103372828057,1,1,2,12,32,bad,bad,bad,bad,bad,good,34.12698412698413
ছোটনিখা,Chotonikha,72,179,251,677,832.8138798331274,0,1,1,5,21,bad,bad,bad,bad,bad,good,71.31474103585657
ক্লীভ্ডন,Clevedon,757,366,1123,3035,3160.7428680217186,0,0,0,5,27,bad,bad,bad,bad,bad,ok,32.591273374888694
ধামাই,Dhamai,1009,200,1209,6186,1985.5706135140933,0,0,1,11,21,bad,bad,bad,bad,bad,good,16.542597187758478
দিদারপুর,Didarpur,347,472,819,1464,1832.6620985155423,0,0,1,7,27,bad,bad,bad,bad,bad,good,57.631257631257625
দিকুশা,Dikusha,134,181,315,734,489.932483925354,1,1,2,7,18,bad,bad,bad,bad,bad,good,57.460317460317455
ফনিহবাগ,Fatehbagh,144,153,297,144,772.8041664908478,0,1,2,6,30,bad,bad,bad,bad,bad,good,51.515151515151516
হালফজ,Hafiz,105,45,150,233,1327.99651465231,0,0,2,4,28,bad,bad,bad,bad,bad,good,30.0
ইসলামাবাদ,Islamabad,28,91,119,119,440.4114668263949,1,1,1,3,9,bad,bad,bad,bad,bad,good,76.47058823529412
কালিকাবাড়ী,Kalikabari,120,150,270,280,2008.6908634740712,0,0,0,5,17,bad,bad,bad,bad,bad,ok,55.55555555555556
কাপনাপাহাড়,Kapnapahar,731,255,986,3731,1924.342250963322,0,0,1,8,19,bad,bad,bad,bad,bad,good,25.862068965517242
কুমারশাইল,Kumarshail,120,132,252,622,3848.0552941076976,0,0,0,3,11,bad,bad,bad,bad,bad,ok,52.38095238095239
নিউসমনবাগ,New Samanbag,1820,0,1820,13780,1475.6741924771595,0,0,1,4,21,bad,bad,bad,bad,bad,good,0.0
পাল্লাথল,Pallathal,308,130,438,1375,4513.067841482483,0,0,0,1,11,bad,bad,bad,bad,bad,ok,29.68036529680365
ফুলতলা,Fultala,1271,139,1410,5242,1483.9282015703077,0,0,2,2,4,bad,bad,bad,bad,bad,good,9.858156028368795
রহমানিয়া,Rahmania,223,20,243,419,1124.4213404671245,0,0,1,5,23,bad,bad,bad,bad,bad,good,8.23045267489712
রাজকী,Rajki,967,0,967,4352,5590.12850338549,0,0,0,0,5,bad,bad,bad,bad,bad,bad,0.0
রশিদাবাদ,Rashidabad,103,164,267,533,1993.5819283397418,0,0,1,7,24,bad,bad,bad,bad,bad,good,61.42322097378277
রত্না,Ratna,673,548,1221,3110,3230.245608899533,0,0,0,5,20,bad,bad,bad,bad,bad,ok,44.88124488124488
শাহবাজপুর,Shahbazpur,365,152,517,1014,2714.3500286668796,0,0,0,4,24,bad,bad,bad,bad,bad,ok,29.40038684719536
সাগরনাল,Sagarnal,981,350,1331,5167,2184.213794842485,0,0,0,3,8,bad,bad,bad,bad,bad,ok,26.296018031555224
শিলিয়ায়া,Shiliyaya,854,150,1004,4997,2558.2792519364893,0,0,0,6,15,bad,bad,bad,bad,bad,ok,14.940239043824702
সোনারুপা,Sonarupa,918,280,1198,6059,1151.4774369104757,0,0,1,5,19,bad,bad,bad,bad,bad,good,23.372287145242073
